A01	SciPlex1
A02	SciPlex2
A03	SciPlex3
A04	SciPlex4
A05	SciPlex5
A06	SciPlex6
A07	SciPlex7
A08	SciPlex8
A09	SciPlex9
A10	SciPlex10
A11	SciPlex11
A12	SciPlex12
B01	SciPlex13
B02	SciPlex14
B03	SciPlex15
B04	SciPlex16
B05	SciPlex17
B06	SciPlex18
B07	SciPlex19
B08	SciPlex20
B09	SciPlex21
B10	SciPlex22
B11	SciPlex23
B12	SciPlex24
C01	SciPlex25
C02	SciPlex26
C03	SciPlex27
C04	SciPlex28
C05	SciPlex29
C06	SciPlex30
C07	SciPlex31
C08	SciPlex32
C09	SciPlex33
C10	SciPlex34
C11	SciPlex35
C12	SciPlex36
D01	SciPlex37
D02	SciPlex38
D03	SciPlex39
D04	SciPlex40
D05	SciPlex41
D06	SciPlex42
D07	SciPlex43
D08	SciPlex44
D09	SciPlex45
D10	SciPlex46
D11	SciPlex47
D12	SciPlex48
E01	SciPlex49
E02	SciPlex50
E03	SciPlex51
E04	SciPlex52
E05	SciPlex53
E06	SciPlex54
E07	SciPlex55
E08	SciPlex56
E09	SciPlex57
E10	SciPlex58
E11	SciPlex59
E12	SciPlex60
F01	SciPlex61
F02	SciPlex62
F03	SciPlex63
F04	SciPlex64
F05	SciPlex65
F06	SciPlex66
F07	SciPlex67
F08	SciPlex68
F09	SciPlex69
F10	SciPlex70
F11	SciPlex71
F12	SciPlex72
G01	SciPlex73
G02	SciPlex74
G03	SciPlex75
G04	SciPlex76
G05	SciPlex77
G06	SciPlex78
G07	SciPlex79
G08	SciPlex80
G09	SciPlex81
G10	SciPlex82
G11	SciPlex83
G12	SciPlex84
H01	SciPlex85
H02	SciPlex86
H03	SciPlex87
H04	SciPlex88
H05	SciPlex89
H06	SciPlex90
H07	SciPlex91
H08	SciPlex92
H09	SciPlex93
H10	SciPlex94
H11	SciPlex95
H12	SciPlex96
